"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","EMXP","PRCP"
"RSM00035026","ZILAIR, RS","52.2","57.4","521.0","2010","1.06","16.44"
"RSM00029939","BIJSK ZONALNAJA, RS","52.68","84.95","224.0","2010","1.41","20.50"
"RSM00034172","SARATOW, RS","51.5667","46.0331","156.0","2010","1.46","19.15"
"RSM00030935","KRASNYJ CHIKOJ, RS","50.37","108.75","770.0","2010","1.26","13.53"
"RSM00030815","HAMAR DABAN, RS","51.53","103.6","1442.0","2010","4.72","50.14"
"RSM00023032","MARRE SALE, RS","69.72","66.8194","24.0","2010","0.64","16.04"
"RSM00023274","IGARKA, RS","67.47","86.57","20.0","2010","0.86","23.92"
"RSM00027872","INZA, RS","53.85","46.4","175.0","2010","0.78","16.89"
"RSM00028722","UFA, RS","54.7167","55.8331","104.0","2010","0.70","16.32"
"RSM00031909","TERNEJ, RS","45.0","136.6","51.0","2010","2.29","37.27"
"RSM00024125","OLENEK, RS","68.5","112.4331","217.0","2010","1.31","15.73"
"RSM00027995","BEZENCHUK, RS","53.0","49.4","46.0","2010","0.74","12.93"
"RSE00150930","HOMUTOVO, RS","52.47","104.37","453.0","2010","1.03","12.88"
"RSM00026781","SMOLENSK, RS","54.75","32.0667","239.0","2010","0.95","28.35"
"RSM00030811","TUNKA, RS","51.73","102.53","720.0","2010","0.98","15.21"
"RSM00034186","ERSOV, RS","51.33","48.35","106.0","2010","0.64","13.39"
"RSM00027509","MOZAJSK, RS","55.5","36.0","185.0","2010","1.76","27.78"
"RSM00028719","AKSAKOVO, RS","54.0","54.2","348.0","2010","0.70","16.67"
"RSM00025325","UST OLOJ, RS","66.55","159.42","127.0","2010","0.84","12.86"
"RSM00026898","BRJANSK, RS","53.33","34.2297","162.0","2010","1.80","29.79"
"RSM00028833","VERKHNEURALSK, RS","53.87","59.2","401.0","2010","1.06","11.56"
"RSM00031915","POGRANICHNYJ, RS","44.4","131.3831","217.0","2010","2.48","26.60"
"RSM00023022","AMDERMA, RS","69.75","61.7","53.0","2010","1.43","16.82"
"RSM00025206","SREDHEKOLYMSK, RS","67.45","153.72","20.0","2010","1.06","11.05"
"RSM00027625","KOLOMNA, RS","55.1","38.7","114.0","2010","1.14","19.01"
"RSM00029923","REBRIHA, RS","53.07","82.3","218.0","2010","1.11","15.46"
"RSM00030949","KYRA, RS","49.5667","111.9667","907.0","2010","1.98","13.90"
"RSM00030829","NOVOSELENGINSK, RS","51.1","106.65","556.0","2010",,
"RSM00023383","AGATA, RS","66.8797","93.47","277.0","2010","0.90","21.09"
"RSM00030822","BABUSKIN, RS","51.72","105.85","465.0","2010","1.85","20.53"
"RSM00030823","ULAN UDE, RS","51.8331","107.6","514.0","2010","0.52","7.04"
"RSM00030703","INGA, RS","52.97","101.98","541.0","2010","1.03","20.19"
"RSM00037107","KRASNAJA POLJANA, RS","43.6","40.2","566.0","2010","2.77","86.67"
"RSM00037228","VLADIKAVKAZ, RS","43.05","44.65","668.0","2010","2.20","35.72"
"RSM00036259","KOSCH AGACH, RS","50.0","88.68","1759.0","2010","0.69","5.11"
"RSM00029915","SLAVGOROD, RS","52.97","78.65","125.0","2010","0.43","7.27"
"RSM00037461","SULAK, RS","42.4","46.25","2927.0","2010","1.60","35.10"
"RSM00035041","BREDY, RS","52.43","60.35","309.0","2010","0.76","12.95"
"RSM00022165","KANIN NOS, RS","68.65","43.3","47.0","2010",,
"RSM00028823","TUKAN, RS","53.9","57.4","551.0","2010","1.01","20.61"
"RSM00025677","BERINGOVSKAJA, RS","63.05","179.32","3.0","2010","1.44","16.78"
"RSM00027612","MOSCOW, RS","55.8331","37.6167","156.0","2010","0.97","23.70"
"RSM00027857","ZAMETCHINO, RS","53.5","42.62","131.0","2010","0.71","17.68"
"RSM00028704","CULPANOVO, RS","54.5","50.4","78.0","2010","0.61","13.13"
"RSM00028825","STERLITAMAK, RS","53.5994","56.0","137.0","2010","0.93","15.57"
"RSM00030838","PETROVSKIJ ZAVOD, RS","51.317","108.867","806.0","2010",,
"RSM00025551","MARKOVO, RS","64.6831","170.4167","25.0","2010","0.80","14.30"
