date	SS4	S2	S1
10.01.1966	0.39	150.0	59.0
20.01.1966	0.38	160.0	61.0
31.01.1966	0.42	180.0	76.0
10.02.1966	0.42	150.0	63.0
20.02.1966	0.43	150.0	65.0
28.02.1966	0.56	130.0	73.0
05.03.1966	0.58	150.0	87.0
10.03.1966	0.55	180.0	-999.0
15.03.1966	0.56	200.0	112.0
20.03.1966	0.52	190.0	-999.0
25.03.1966	0.51	180.0	92.0
31.03.1966	0.49	190.0	93.0
05.04.1966	0.58	170.0	-999.0
10.04.1966	0.57	170.0	97.0
15.04.1966	0.56	190.0	106.0
20.04.1966	0.65	160.0	104.0
25.04.1966	0.66	210.0	139.0
30.04.1966	0.61	220.0	134.0
05.05.1966	0.59	200.0	118.0
10.05.1966	0.41	240.0	98.0
15.05.1966	0.06	260.0	16.0
31.10.1966	0.25	50.0	13.0
10.11.1966	0.34	90.0	31.0
20.11.1966	0.29	80.0	23.0
30.11.1966	0.37	110.0	41.0
10.12.1966	0.37	100.0	37.0
20.12.1966	0.37	120.0	44.0
31.12.1966	0.38	120.0	46.0
10.01.1967	0.38	120.0	46.0
20.01.1967	0.4	130.0	52.0
31.01.1967	0.43	130.0	56.0
10.02.1967	0.45	160.0	72.0
20.02.1967	0.46	150.0	69.0
28.02.1967	0.52	160.0	83.0
10.03.1967	0.48	160.0	77.0
20.03.1967	0.49	160.0	78.0
31.03.1967	0.48	200.0	96.0
10.04.1967	0.54	200.0	108.0
15.04.1967	0.56	200.0	112.0
20.04.1967	0.37	180.0	67.0
25.04.1967	0.02	-999.0	-999.0
20.10.1967	0.04	-999.0	-999.0
31.10.1967	0.01	-999.0	-999.0
10.11.1967	0.16	110.0	18.0
20.11.1967	0.17	120.0	20.0
30.11.1967	0.19	110.0	21.0
20.12.1967	0.27	130.0	35.0
20.01.1968	0.28	160.0	45.0
31.01.1968	0.28	160.0	45.0
10.02.1968	0.28	170.0	48.0
20.02.1968	0.3	170.0	51.0
29.02.1968	0.32	160.0	51.0
10.03.1968	0.34	160.0	54.0
20.03.1968	0.34	190.0	65.0
25.03.1968	0.31	200.0	62.0
31.03.1968	0.31	200.0	62.0
05.04.1968	0.32	200.0	64.0
10.04.1968	0.32	200.0	64.0
15.04.1968	0.23	270.0	62.0
20.04.1968	0.06	320.0	19.0
10.10.1968	0.22	140.0	31.0
20.10.1968	0.18	160.0	29.0
31.10.1968	0.24	170.0	41.0
10.11.1968	0.24	170.0	41.0
20.11.1968	0.3	150.0	45.0
30.11.1968	0.36	140.0	50.0
10.12.1968	0.5	140.0	70.0
20.12.1968	0.46	150.0	69.0
31.12.1968	0.51	180.0	92.0
10.01.1969	0.48	180.0	86.0
20.01.1969	0.51	170.0	87.0
31.01.1969	0.48	170.0	82.0
10.02.1969	0.51	190.0	97.0
20.02.1969	0.51	170.0	87.0
28.02.1969	0.52	170.0	88.0
10.03.1969	0.52	170.0	88.0
20.03.1969	0.48	170.0	82.0
25.03.1969	0.51	170.0	87.0
31.03.1969	0.5	180.0	90.0
05.04.1969	0.5	170.0	85.0
10.04.1969	0.47	200.0	94.0
15.04.1969	0.55	190.0	105.0
20.04.1969	0.53	220.0	117.0
25.04.1969	0.44	200.0	88.0
30.04.1969	0.45	200.0	90.0
05.05.1969	0.07	200.0	14.0
10.05.1969	0.07	310.0	22.0
10.10.1969	-999.0	-999.0	0.0
20.10.1969	0.02	-999.0	-999.0
31.10.1969	-999.0	-999.0	0.0
10.11.1969	0.21	160.0	34.0
20.11.1969	0.3	140.0	42.0
30.11.1969	0.3	150.0	45.0
10.12.1969	0.32	150.0	48.0
20.12.1969	0.32	150.0	48.0
31.12.1969	0.32	160.0	51.0
10.01.1970	0.33	160.0	53.0
20.01.1970	0.32	150.0	48.0
31.01.1970	0.33	160.0	53.0
05.02.1970	-999.0	-999.0	0.0
10.02.1970	0.34	160.0	54.0
15.02.1970	-999.0	-999.0	0.0
20.02.1970	0.39	170.0	66.0
25.02.1970	-999.0	-999.0	0.0
28.02.1970	0.38	170.0	65.0
05.03.1970	-999.0	-999.0	0.0
10.03.1970	0.39	170.0	66.0
15.03.1970	-999.0	-999.0	0.0
20.03.1970	0.41	170.0	70.0
25.03.1970	0.41	170.0	70.0
31.03.1970	0.41	190.0	78.0
