date	SS4	S2	S1
31.01.1997	0.37	150.0	56.0
20.02.1997	0.41	150.0	62.0
28.02.1997	0.4	170.0	68.0
20.03.1997	0.49	160.0	78.0
31.03.1997	0.45	180.0	81.0
20.04.1997	0.38	200.0	76.0
25.04.1997	0.27	190.0	51.0
30.04.1997	0.23	220.0	51.0
31.01.1998	0.54	170.0	92.0
20.02.1998	0.58	170.0	99.0
28.02.1998	0.76	170.0	129.0
20.03.1998	0.76	180.0	137.0
31.03.1998	0.71	190.0	135.0
20.04.1998	0.71	210.0	149.0
30.04.1998	0.62	250.0	155.0
10.05.1998	0.49	250.0	123.0
15.05.1998	0.33	290.0	96.0
20.05.1998	0.2	290.0	58.0
31.01.1999	0.44	190.0	84.0
20.02.1999	0.46	190.0	87.0
28.02.1999	0.46	190.0	87.0
20.03.1999	0.47	180.0	85.0
31.03.1999	0.45	180.0	81.0
20.04.1999	0.41	200.0	82.0
25.04.1999	0.39	240.0	94.0
30.04.1999	0.46	250.0	115.0
10.05.1999	0.16	300.0	48.0
31.01.2000	0.51	190.0	97.0
20.02.2000	0.54	190.0	103.0
29.02.2000	0.54	190.0	103.0
20.03.2000	0.51	200.0	102.0
31.03.2000	0.5	200.0	100.0
20.04.2000	0.42	230.0	97.0
25.04.2000	0.29	290.0	84.0
30.04.2000	0.19	300.0	57.0
31.01.2001	0.26	160.0	42.0
20.02.2001	0.25	170.0	43.0
28.02.2001	0.27	170.0	46.0
20.03.2001	0.27	180.0	49.0
31.03.2001	0.26	180.0	47.0
15.04.2001	0.32	180.0	58.0
20.04.2001	0.3	180.0	54.0
25.04.2001	0.29	190.0	55.0
30.04.2001	0.26	200.0	52.0
31.01.2002	0.5	190.0	95.0
20.02.2002	0.59	170.0	100.0
28.02.2002	0.6	180.0	108.0
20.03.2002	0.6	180.0	108.0
31.03.2002	0.58	180.0	104.0
20.04.2002	0.49	200.0	98.0
25.04.2002	0.5	200.0	100.0
30.04.2002	0.45	210.0	95.0
10.05.2002	0.33	250.0	83.0
15.05.2002	0.17	270.0	46.0
31.01.2003	0.23	180.0	41.0
20.02.2003	0.27	170.0	46.0
28.02.2003	0.31	170.0	53.0
20.03.2003	0.3	160.0	48.0
31.03.2003	0.29	190.0	55.0
15.04.2003	0.3	190.0	57.0
20.04.2003	0.31	190.0	59.0
25.04.2003	0.26	220.0	57.0
30.04.2003	0.25	230.0	58.0
10.05.2003	0.09	330.0	30.0
24.05.2003	0.14	150.0	21.0
20.10.2003	0.14	120.0	17.0
31.01.2004	0.37	170.0	63.0
20.02.2004	0.36	170.0	61.0
29.02.2004	0.39	180.0	70.0
20.03.2004	0.43	180.0	77.0
31.03.2004	0.4	180.0	72.0
20.04.2004	0.38	190.0	72.0
25.04.2004	0.35	200.0	70.0
30.04.2004	0.33	210.0	69.0
10.05.2004	0.14	290.0	41.0
31.01.2005	0.53	190.0	101.0
20.02.2005	0.52	190.0	99.0
28.02.2005	0.53	190.0	101.0
20.03.2005	0.57	200.0	114.0
31.03.2005	0.56	210.0	118.0
15.04.2005	0.46	210.0	97.0
20.04.2005	0.43	230.0	99.0
25.04.2005	0.36	270.0	97.0
30.04.2005	0.3	260.0	78.0
31.01.2006	0.37	180.0	67.0
20.02.2006	0.42	200.0	84.0
28.02.2006	0.39	200.0	78.0
20.03.2006	0.43	200.0	86.0
31.03.2006	0.44	200.0	88.0
15.04.2006	0.4	190.0	76.0
20.04.2006	0.4	210.0	84.0
25.04.2006	0.3	270.0	81.0
30.04.2006	0.3	260.0	78.0
