date	SS4	S2	S1
20.12.1975	0.06	160.0	9.0
31.12.1975	-999.0	-999.0	0.0
20.01.1976	-999.0	-999.0	0.0
31.01.1976	-999.0	-999.0	0.0
10.02.1976	0.18	210.0	38.0
15.02.1976	0.15	190.0	28.0
20.02.1976	0.17	220.0	37.0
25.02.1976	0.15	200.0	30.0
28.02.1976	0.18	210.0	37.0
10.03.1976	0.17	260.0	44.0
15.03.1976	0.18	200.0	36.0
20.03.1976	0.03	-999.0	-999.0
25.03.1976	0.19	200.0	38.0
30.03.1976	0.08	240.0	19.0
20.11.1976	0.11	-999.0	-999.0
NaT	0.11	180.0	14.0
20.12.1976	0.16	170.0	27.0
31.12.1976	0.17	200.0	34.0
