date	SS4	S2	S1
10.01.1966	0.02	-999.0	-999.0
20.01.1966	0.01	-999.0	-999.0
31.01.1966	0.01	-999.0	-999.0
10.02.1966	0.03	-999.0	-999.0
20.02.1966	0.03	-999.0	-999.0
25.02.1966	0.03	-999.0	-999.0
28.02.1966	0.03	-999.0	-999.0
10.03.1966	0.03	-999.0	-999.0
15.03.1966	0.03	-999.0	-999.0
20.03.1966	0.01	-999.0	-999.0
25.03.1966	0.02	-999.0	-999.0
20.11.1966	0.01	-999.0	-999.0
30.11.1966	0.0	-999.0	0.0
10.12.1966	0.01	-999.0	-999.0
20.12.1966	0.03	-999.0	-999.0
31.12.1966	0.02	-999.0	-999.0
10.01.1967	0.03	-999.0	-999.0
20.01.1967	0.01	-999.0	-999.0
31.01.1967	0.01	-999.0	-999.0
10.02.1967	0.02	-999.0	-999.0
20.02.1967	0.01	-999.0	-999.0
25.02.1967	0.01	-999.0	-999.0
05.03.1967	0.01	-999.0	-999.0
10.03.1967	0.01	-999.0	-999.0
15.03.1967	0.01	-999.0	-999.0
20.03.1967	0.02	-999.0	-999.0
31.10.1967	0.03	-999.0	-999.0
10.11.1967	0.08	230.0	18.0
20.11.1967	0.09	220.0	20.0
30.11.1967	0.08	220.0	18.0
10.12.1967	0.07	220.0	15.0
20.12.1967	0.08	180.0	14.0
31.12.1967	0.07	220.0	15.0
10.01.1968	0.08	230.0	18.0
20.01.1968	0.08	210.0	17.0
31.01.1968	0.07	260.0	18.0
10.02.1968	0.07	220.0	15.0
20.02.1968	0.07	200.0	14.0
25.02.1968	0.06	220.0	13.0
29.02.1968	0.06	220.0	13.0
05.03.1968	0.06	210.0	13.0
10.03.1968	0.04	-999.0	-999.0
15.03.1968	0.02	-999.0	-999.0
20.03.1968	0.01	-999.0	-999.0
31.03.1968	0.0	-999.0	0.0
05.04.1968	0.09	200.0	18.0
10.04.1968	0.0	-999.0	0.0
20.04.1968	0.01	-999.0	-999.0
30.11.1968	0.0	-999.0	0.0
10.12.1968	0.02	-999.0	-999.0
20.12.1968	0.02	-999.0	-999.0
31.12.1968	0.03	-999.0	-999.0
10.01.1969	0.03	-999.0	-999.0
20.01.1969	0.03	-999.0	-999.0
31.01.1969	0.03	-999.0	-999.0
10.02.1969	0.02	-999.0	-999.0
20.02.1969	0.02	-999.0	-999.0
28.02.1969	0.01	-999.0	-999.0
05.03.1969	0.01	-999.0	-999.0
10.03.1969	0.01	-999.0	-999.0
20.04.1969	0.01	-999.0	-999.0
10.10.1969	0.03	-999.0	-999.0
20.11.1969	0.05	-999.0	-999.0
30.11.1969	0.05	-999.0	-999.0
10.12.1969	0.08	-999.0	-999.0
20.12.1969	0.05	-999.0	-999.0
31.12.1969	0.05	-999.0	-999.0
10.01.1970	0.06	-999.0	-999.0
20.01.1970	0.05	-999.0	-999.0
31.01.1970	0.05	-999.0	-999.0
10.02.1970	0.04	-999.0	-999.0
20.02.1970	0.03	-999.0	-999.0
28.02.1970	0.02	-999.0	-999.0
05.03.1970	0.01	-999.0	-999.0
10.03.1970	0.04	-999.0	-999.0
15.03.1970	0.04	-999.0	-999.0
20.03.1970	0.03	-999.0	-999.0
25.03.1970	0.01	-999.0	-999.0
25.04.1970	0.0	-999.0	0.0
30.04.1970	0.02	-999.0	-999.0
25.05.1970	0.0	-999.0	0.0
30.05.1970	0.02	-999.0	-999.0
10.10.1970	0.02	-999.0	-999.0
20.10.1970	0.03	-999.0	-999.0
20.12.1970	0.02	-999.0	-999.0
31.12.1970	0.01	-999.0	-999.0
10.01.1971	0.02	-999.0	-999.0
20.01.1971	0.01	-999.0	-999.0
31.01.1971	0.02	-999.0	-999.0
10.02.1971	0.01	-999.0	-999.0
20.02.1971	0.01	-999.0	-999.0
25.02.1971	0.02	-999.0	-999.0
28.02.1971	0.01	-999.0	-999.0
05.03.1971	0.02	-999.0	-999.0
10.03.1971	0.01	-999.0	-999.0
20.03.1971	0.01	-999.0	-999.0
05.04.1971	0.01	-999.0	-999.0
10.04.1971	0.03	-999.0	-999.0
15.04.1971	0.04	-999.0	-999.0
20.10.1971	0.03	-999.0	-999.0
30.11.1971	0.02	-999.0	-999.0
10.12.1971	0.02	-999.0	-999.0
20.12.1971	0.01	-999.0	-999.0
31.12.1971	0.01	-999.0	-999.0
10.01.1972	0.01	-999.0	-999.0
20.01.1972	0.01	-999.0	-999.0
31.01.1972	0.01	-999.0	-999.0
10.02.1972	0.02	-999.0	-999.0
20.02.1972	0.01	-999.0	-999.0
25.02.1972	0.01	-999.0	-999.0
29.02.1972	0.0	-999.0	0.0
