date	SS4	S2	S1
31.01.1997	0.29	150.0	44.0
20.02.1997	0.31	160.0	50.0
28.02.1997	0.33	160.0	53.0
20.03.1997	0.36	170.0	61.0
31.03.1997	0.36	170.0	61.0
20.04.1997	0.16	200.0	32.0
20.10.1997	0.07	200.0	14.0
31.10.1997	0.12	210.0	25.0
20.11.1997	0.2	220.0	44.0
30.11.1997	0.21	200.0	42.0
20.12.1997	0.26	230.0	60.0
31.12.1997	0.27	230.0	62.0
20.01.1998	0.32	240.0	77.0
31.01.1998	0.35	170.0	60.0
20.02.1998	0.37	180.0	67.0
28.02.1998	0.36	180.0	65.0
20.03.1998	0.38	210.0	80.0
31.03.1998	0.43	270.0	116.0
20.04.1998	0.42	210.0	88.0
25.04.1998	0.39	210.0	82.0
30.04.1998	0.29	210.0	61.0
20.10.1998	0.02	-999.0	-999.0
31.10.1998	0.07	-999.0	-999.0
20.11.1998	0.14	120.0	17.0
30.11.1998	0.15	120.0	18.0
20.12.1998	0.2	140.0	28.0
31.12.1998	0.21	160.0	34.0
20.01.1999	0.23	160.0	37.0
31.01.1999	0.28	160.0	45.0
20.02.1999	0.35	160.0	56.0
28.02.1999	0.35	180.0	63.0
20.03.1999	0.4	230.0	92.0
31.03.1999	0.4	240.0	96.0
20.04.1999	0.27	310.0	84.0
25.04.1999	0.25	350.0	88.0
30.04.1999	0.2	350.0	70.0
10.05.1999	0.09	360.0	32.0
20.10.1999	0.09	140.0	13.0
31.10.1999	0.1	170.0	17.0
20.11.1999	0.21	160.0	34.0
30.11.1999	0.24	140.0	34.0
20.12.1999	0.35	160.0	56.0
31.12.1999	0.35	170.0	60.0
20.01.2000	0.38	190.0	72.0
31.01.2000	0.37	160.0	59.0
20.02.2000	0.39	190.0	74.0
29.02.2000	0.4	180.0	72.0
20.03.2000	0.45	190.0	86.0
31.03.2000	0.47	200.0	94.0
20.04.2000	0.38	220.0	84.0
25.04.2000	0.29	320.0	93.0
30.04.2000	0.24	360.0	86.0
31.10.2000	0.06	130.0	8.0
20.11.2000	0.17	100.0	17.0
30.11.2000	0.18	110.0	20.0
20.12.2000	0.2	120.0	24.0
31.12.2000	0.22	120.0	26.0
20.01.2001	0.26	140.0	36.0
31.01.2001	0.22	150.0	33.0
20.02.2001	0.25	170.0	43.0
28.02.2001	0.25	170.0	43.0
20.03.2001	0.31	190.0	59.0
31.03.2001	0.31	220.0	68.0
20.04.2001	0.28	230.0	64.0
25.04.2001	0.26	230.0	60.0
30.04.2001	0.25	230.0	58.0
30.11.2001	0.27	150.0	41.0
20.12.2001	0.32	170.0	54.0
31.12.2001	0.32	170.0	54.0
20.01.2002	0.38	190.0	72.0
31.01.2002	0.38	170.0	65.0
20.02.2002	0.4	180.0	72.0
28.02.2002	0.48	180.0	86.0
20.03.2002	0.5	190.0	95.0
31.03.2002	0.44	240.0	106.0
20.04.2002	0.36	250.0	90.0
25.04.2002	0.31	210.0	65.0
30.04.2002	0.21	250.0	53.0
31.10.2002	0.07	110.0	8.0
20.11.2002	0.21	100.0	21.0
30.11.2002	0.2	120.0	24.0
20.12.2002	0.21	130.0	27.0
31.12.2002	0.22	140.0	31.0
20.01.2003	0.25	150.0	38.0
31.01.2003	0.27	120.0	32.0
20.02.2003	0.32	130.0	42.0
28.02.2003	0.34	130.0	44.0
20.03.2003	0.33	160.0	53.0
31.03.2003	0.31	210.0	65.0
20.04.2003	0.19	240.0	46.0
25.04.2003	0.15	250.0	38.0
30.04.2003	0.14	250.0	35.0
31.10.2003	0.13	130.0	17.0
20.11.2003	0.19	130.0	25.0
30.11.2003	0.18	140.0	25.0
20.12.2003	0.3	160.0	48.0
31.12.2003	0.3	170.0	51.0
20.01.2004	0.34	180.0	61.0
31.01.2004	0.35	170.0	60.0
20.02.2004	0.39	170.0	66.0
29.02.2004	0.4	180.0	72.0
20.03.2004	0.41	180.0	74.0
31.03.2004	0.39	190.0	74.0
20.04.2004	0.45	190.0	86.0
25.04.2004	0.45	190.0	86.0
30.04.2004	0.33	230.0	76.0
31.10.2004	0.11	100.0	11.0
20.11.2004	0.19	140.0	27.0
30.11.2004	0.19	140.0	27.0
20.12.2004	0.24	160.0	38.0
31.12.2004	0.28	160.0	45.0
20.01.2005	0.34	160.0	54.0
31.01.2005	0.37	160.0	59.0
20.02.2005	0.41	170.0	70.0
28.02.2005	0.41	180.0	74.0
20.03.2005	0.43	180.0	77.0
31.03.2005	0.46	180.0	83.0
20.04.2005	0.33	220.0	73.0
25.04.2005	0.22	260.0	57.0
30.04.2005	0.18	290.0	52.0
31.10.2005	0.04	-999.0	-999.0
20.11.2005	0.22	130.0	29.0
30.11.2005	0.29	130.0	38.0
20.12.2005	0.33	150.0	50.0
31.12.2005	0.35	160.0	56.0
20.01.2006	0.37	160.0	59.0
31.01.2006	0.36	170.0	61.0
20.02.2006	0.37	190.0	70.0
28.02.2006	0.38	200.0	76.0
20.03.2006	0.42	210.0	88.0
31.03.2006	0.43	200.0	86.0
20.04.2006	0.38	210.0	80.0
25.04.2006	0.23	250.0	58.0
30.04.2006	0.16	240.0	38.0
