date	SS4	S2	S1
10.01.1966	0.56	150.0	84.0
20.01.1966	0.54	160.0	86.0
31.01.1966	0.61	150.0	91.0
10.02.1966	0.61	160.0	98.0
20.02.1966	0.68	170.0	116.0
28.02.1966	0.7	170.0	119.0
10.03.1966	0.74	170.0	126.0
20.03.1966	0.71	180.0	128.0
31.03.1966	0.7	190.0	133.0
10.04.1966	0.69	190.0	131.0
20.04.1966	0.65	210.0	136.0
25.04.1966	0.63	220.0	139.0
30.04.1966	0.6	220.0	132.0
05.05.1966	0.59	220.0	130.0
10.05.1966	0.48	240.0	115.0
15.05.1966	0.38	260.0	-999.0
10.10.1966	0.04	0.0	-999.0
20.10.1966	0.05	130.0	6.0
31.10.1966	0.12	110.0	13.0
10.11.1966	0.15	110.0	16.0
20.11.1966	0.25	130.0	32.0
30.11.1966	0.36	130.0	47.0
10.12.1966	0.4	160.0	64.0
20.12.1966	0.4	160.0	64.0
31.12.1966	0.38	160.0	61.0
10.01.1967	0.47	160.0	75.0
20.01.1967	0.53	150.0	80.0
31.01.1967	0.55	150.0	82.0
10.02.1967	0.57	170.0	97.0
20.02.1967	0.58	170.0	90.0
28.02.1967	0.59	160.0	94.0
10.03.1967	0.57	180.0	103.0
20.03.1967	0.68	170.0	107.0
31.03.1967	0.61	180.0	110.0
10.04.1967	0.6	180.0	108.0
20.04.1967	0.57	180.0	103.0
25.04.1967	0.64	170.0	109.0
30.04.1967	0.66	180.0	119.0
05.05.1967	0.33	260.0	86.0
10.05.1967	0.05	290.0	14.0
10.10.1967	0.09	200.0	18.0
20.10.1967	0.12	180.0	22.0
31.10.1967	0.16	140.0	22.0
10.11.1967	0.2	120.0	24.0
20.11.1967	0.19	140.0	27.0
30.11.1967	0.24	140.0	34.0
10.12.1967	0.26	150.0	39.0
20.12.1967	0.29	150.0	44.0
31.12.1967	0.39	160.0	62.0
10.01.1968	0.46	150.0	69.0
20.01.1968	0.52	160.0	83.0
31.01.1968	0.52	180.0	94.0
10.02.1968	0.57	180.0	103.0
20.02.1968	0.59	190.0	112.0
29.02.1968	0.56	200.0	112.0
10.03.1968	0.56	190.0	106.0
20.03.1968	0.65	180.0	117.0
31.03.1968	0.62	190.0	118.0
10.04.1968	0.61	200.0	122.0
20.04.1968	0.59	210.0	124.0
25.04.1968	0.58	210.0	122.0
30.04.1968	0.56	210.0	118.0
05.05.1968	0.59	210.0	124.0
10.05.1968	0.5	260.0	130.0
15.05.1968	0.26	300.0	78.0
20.05.1968	0.06	350.0	21.0
20.10.1968	0.12	900.0	11.0
20.11.1968	0.21	120.0	25.0
20.12.1968	0.27	150.0	40.0
20.01.1969	0.65	130.0	84.0
10.02.1969	0.63	150.0	94.0
20.02.1969	0.61	160.0	98.0
28.02.1969	0.62	160.0	-999.0
10.03.1969	0.63	170.0	107.0
20.03.1969	0.6	190.0	114.0
31.03.1969	0.61	200.0	122.0
10.04.1969	0.6	200.0	120.0
20.04.1969	0.56	200.0	112.0
25.04.1969	0.54	210.0	113.0
30.04.1969	0.57	200.0	114.0
05.05.1969	0.52	210.0	109.0
10.05.1969	0.52	210.0	109.0
15.05.1969	0.35	240.0	84.0
20.05.1969	0.16	320.0	51.0
20.10.1969	0.15	120.0	18.0
20.11.1969	0.31	140.0	43.0
20.12.1969	0.4	130.0	52.0
20.11.1970	0.4	130.0	52.0
20.12.1970	0.47	130.0	61.0
20.01.1971	0.58	150.0	87.0
20.02.1971	0.67	150.0	100.0
10.03.1971	0.66	170.0	112.0
20.03.1971	0.68	170.0	116.0
31.03.1971	0.63	180.0	113.0
10.04.1971	0.61	200.0	122.0
20.04.1971	0.59	220.0	130.0
25.04.1971	0.53	220.0	117.0
30.04.1971	0.45	230.0	104.0
20.10.1971	0.22	110.0	24.0
20.11.1971	0.36	150.0	54.0
20.12.1971	0.35	150.0	52.0
20.01.1972	0.53	160.0	85.0
10.02.1972	0.6	170.0	102.0
20.02.1972	0.6	180.0	108.0
29.02.1972	0.66	170.0	112.0
10.03.1972	0.66	190.0	125.0
20.03.1972	0.62	190.0	118.0
31.03.1972	0.63	200.0	126.0
10.04.1972	0.6	220.0	132.0
20.04.1972	0.58	210.0	122.0
25.04.1972	0.58	210.0	122.0
30.04.1972	0.58	210.0	122.0
05.05.1972	0.52	210.0	109.0
10.05.1972	0.46	210.0	97.0
15.05.1972	0.08	310.0	25.0
20.11.1972	0.28	140.0	39.0
20.12.1972	0.42	150.0	63.0
20.01.1973	0.62	160.0	-999.0
10.02.1973	0.64	180.0	115.0
20.02.1973	0.66	180.0	119.0
28.02.1973	0.69	180.0	124.0
10.03.1973	0.64	190.0	122.0
20.03.1973	0.64	190.0	122.0
31.03.1973	0.62	210.0	130.0
10.04.1973	0.6	200.0	120.0
20.04.1973	0.64	190.0	122.0
25.04.1973	0.59	190.0	112.0
30.04.1973	0.55	190.0	104.0
05.05.1973	0.52	210.0	109.0
10.05.1973	0.45	240.0	108.0
15.05.1973	0.22	250.0	55.0
20.10.1973	0.06	110.0	7.0
20.11.1973	0.39	130.0	51.0
20.12.1973	0.5	190.0	95.0
20.01.1974	0.56	180.0	101.0
10.02.1974	0.59	170.0	100.0
20.02.1974	0.61	180.0	110.0
28.02.1974	0.63	180.0	113.0
10.03.1974	0.62	180.0	112.0
20.03.1974	0.65	190.0	124.0
31.03.1974	0.63	190.0	120.0
10.04.1974	0.6	180.0	108.0
20.04.1974	0.62	200.0	124.0
25.04.1974	0.61	210.0	128.0
30.04.1974	0.55	190.0	104.0
05.05.1974	0.48	220.0	106.0
10.05.1974	0.46	240.0	110.0
15.05.1974	0.42	240.0	101.0
20.05.1974	0.39	250.0	98.0
10.10.1974	-999.0	0.0	0.0
20.10.1974	-999.0	0.0	0.0
31.10.1974	0.06	0.0	-999.0
10.11.1974	0.17	100.0	17.0
20.11.1974	0.18	140.0	25.0
30.11.1974	0.22	150.0	33.0
10.12.1974	0.22	150.0	33.0
20.12.1974	0.22	150.0	33.0
31.12.1974	0.21	160.0	34.0
10.01.1975	0.22	150.0	33.0
20.01.1975	0.24	170.0	41.0
31.01.1975	0.31	170.0	53.0
10.02.1975	0.39	160.0	62.0
20.02.1975	0.4	170.0	68.0
28.02.1975	0.41	170.0	70.0
10.03.1975	0.41	160.0	66.0
20.03.1975	0.44	180.0	79.0
31.03.1975	0.41	170.0	70.0
10.04.1975	0.43	180.0	77.0
20.04.1975	0.45	170.0	76.0
25.04.1975	0.45	180.0	81.0
30.04.1975	0.43	180.0	77.0
05.05.1975	0.42	180.0	76.0
10.05.1975	0.37	200.0	74.0
15.05.1975	0.27	210.0	57.0
20.10.1975	0.04	0.0	-999.0
31.10.1975	0.21	110.0	23.0
10.11.1975	0.2	150.0	30.0
20.11.1975	0.25	180.0	45.0
30.11.1975	0.34	200.0	68.0
10.12.1975	0.4	220.0	88.0
20.12.1975	0.42	230.0	97.0
31.12.1975	0.42	240.0	101.0
10.01.1976	0.5	250.0	125.0
20.01.1976	0.5	260.0	130.0
31.01.1976	0.52	270.0	140.0
10.02.1976	0.54	250.0	135.0
