date	T0.00	T0.05	T0.10	T1.20	T1.60	T2.40	T3.20
01.01.1977	-999.0	-999.0	-999.0	-12.8	-10.5	-999.0	-4.9
02.01.1977	-999.0	-999.0	-999.0	-12.8	-10.5	-999.0	-5.2
03.01.1977	-999.0	-999.0	-999.0	-12.9	-10.6	-999.0	-5.2
04.01.1977	-999.0	-999.0	-999.0	-13.0	-10.7	-999.0	-5.4
05.01.1977	-999.0	-999.0	-999.0	-13.0	-10.8	-999.0	-5.6
06.01.1977	-999.0	-999.0	-999.0	-12.9	-10.9	-999.0	-5.7
07.01.1977	-999.0	-999.0	-999.0	-13.0	-11.0	-999.0	-5.9
08.01.1977	-999.0	-999.0	-999.0	-13.2	-11.1	-999.0	-5.8
09.01.1977	-999.0	-999.0	-999.0	-13.2	-11.1	-999.0	-5.8
10.01.1977	-999.0	-999.0	-999.0	-13.1	-11.2	-999.0	-6.1
11.01.1977	-999.0	-999.0	-999.0	-13.1	-11.2	-999.0	-6.1
12.01.1977	-999.0	-999.0	-999.0	-13.2	-11.2	-999.0	-6.2
13.01.1977	-999.0	-999.0	-999.0	-13.2	-11.2	-999.0	-6.2
14.01.1977	-999.0	-999.0	-999.0	-13.3	-11.4	-999.0	-6.4
15.01.1977	-999.0	-999.0	-999.0	-13.2	-11.4	-999.0	-6.5
16.01.1977	-999.0	-999.0	-999.0	-13.1	-11.4	-999.0	-6.6
17.01.1977	-999.0	-999.0	-999.0	-13.2	-11.4	-999.0	-6.6
18.01.1977	-999.0	-999.0	-999.0	-13.1	-11.4	-999.0	-6.7
19.01.1977	-999.0	-999.0	-999.0	-12.9	-11.4	-999.0	-6.9
20.01.1977	-999.0	-999.0	-999.0	-13.0	-11.4	-999.0	-6.9
21.01.1977	-999.0	-999.0	-999.0	-13.1	-11.4	-999.0	-7.0
22.01.1977	-999.0	-999.0	-999.0	-13.1	-11.4	-999.0	-6.9
23.01.1977	-999.0	-999.0	-999.0	-13.1	-11.5	-999.0	-7.1
24.01.1977	-999.0	-999.0	-999.0	-13.1	-11.5	-999.0	-7.1
25.01.1977	-999.0	-999.0	-999.0	-13.1	-11.5	-999.0	-7.2
26.01.1977	-999.0	-999.0	-999.0	-13.1	-11.6	-999.0	-7.2
27.01.1977	-999.0	-999.0	-999.0	-13.1	-11.6	-999.0	-7.3
28.01.1977	-999.0	-999.0	-999.0	-13.1	-11.6	-999.0	-7.3
29.01.1977	-999.0	-999.0	-999.0	-13.1	-11.6	-999.0	-7.3
30.01.1977	-999.0	-999.0	-999.0	-13.3	-11.7	-999.0	-7.6
31.01.1977	-999.0	-999.0	-999.0	-13.3	-11.7	-999.0	-7.6
01.02.1977	-999.0	-999.0	-999.0	-13.3	-11.7	-999.0	-7.6
02.02.1977	-999.0	-999.0	-999.0	-13.2	-11.8	-999.0	-7.7
03.02.1977	-999.0	-999.0	-999.0	-13.3	-11.8	-999.0	-7.7
04.02.1977	-999.0	-999.0	-999.0	-13.2	-11.8	-999.0	-7.7
